Park Name,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Average
Acadia National Park,"2,374,645","2,431,052","2,254,922","2,563,129","2,811,184","3,303,393","3,509,271","3,537,575","3,437,286","2,669,034","2,889,149"
Arches National Park,"1,040,758","1,070,577","1,082,866","1,284,767","1,399,247","1,585,718","1,539,028","1,663,557","1,659,702","1,238,083","1,356,430"
Badlands National Park,"870,741","883,406","892,372","868,094","989,354","996,263","1,054,325","1,008,942","970,998","916,932","945,143"
Big Bend National Park,"361,862","292,055","316,953","314,102","381,747","388,290","440,276","440,091","463,832","393,907","379,312"
Biscayne National Park,"476,077","495,613","486,848","525,745","508,164","514,709","446,961","469,253","708,522","402,770","503,466"
Black Canyon of the Gunnison National Park,"168,336","192,570","175,852","183,045","209,166","238,018","307,143","308,962","432,818","341,620","255,753"
Bryce Canyon National Park,"1,296,000","1,385,352","1,311,875","1,435,741","1,745,804","2,365,110","2,571,684","2,679,478","2,594,904","1,464,655","1,885,060"
Canyonlands National Park,"473,773","452,952","462,242","542,431","634,607","776,218","742,271","739,449","733,996","493,914","605,185"
Capitol Reef National Park,"668,834","673,345","663,670","786,514","941,029","1,064,904","1,150,165","1,227,627","1,226,519","981,038","938,365"
Carlsbad Caverns National Park,"365,000","381,058","388,566","397,309","445,720","466,773","520,026","465,912","440,691","183,835","405,489"
Channel Islands National Park,"242,756","249,594","212,029","342,161","324,816","364,807","383,687","366,250","409,630","167,290","306,302"
Congaree National Park,"120,166","109,685","120,340","120,122","87,513","143,843","159,595","145,929","159,445","119,306","128,594"
Crater Lake National Park,"423,551","447,251","523,027","535,508","614,712","756,344","711,749","720,659","704,512","670,500","610,781"
Cuyahoga Valley National Park,"2,161,185","2,299,722","2,103,010","2,189,849","2,284,612","2,423,390","2,226,879","2,096,053","2,237,997","2,755,628","2,277,833"
Death Valley National Park,"946,867","984,568","951,972","1,101,312","1,154,843","1,296,283","1,294,827","1,678,660","1,740,945","820,023","1,197,030"
Denali National Park & Preserve,"406,582","388,433","530,922","531,315","560,757","587,412","642,809","594,660","601,152","54,850","489,889"
Dry Tortugas National Park,"75,171","60,550","58,401","64,865","70,862","73,661","54,281","56,810","79,200","48,543","64,234"
Everglades National Park,"934,351","1,141,906","1,047,116","1,110,901","1,077,427","930,907","1,018,557","597,124","1,118,300","702,319","967,891"
Gates of the Arctic National Park & Preserve,"11,623","10,899","11,012","12,669","10,745","10,047","11,177","9,591","10,518","2,872","10,115"
Gateway Arch National Park,"2,259,020","2,496,726","2,377,258","1,817,091","1,698,656","1,271,855","1,398,188","2,016,180","2,055,309","486,021","1,787,630"
Glacier Bay National Park & Preserve,"431,986","454,337","500,590","500,727","551,353","520,171","547,057","597,915","672,087","5,748","478,197"
Glacier National Park,"1,853,564","2,162,035","2,190,374","2,338,528","2,366,056","2,946,681","3,305,512","2,965,309","3,049,839","1,698,864","2,487,676"
