given_name,lat,lon,formatted,name,housenumber,district,street,suburb,postcode,city,county,state,state_code,country,country_code,confidence,attribution,attribution_license,attribution_url,Park Name,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Average
Acadia National Park,44.3444704,-68.062951,"Acadia National Park, Winter Harbor, ME 04613, United States of America",Acadia National Park,,,,,4613,Winter Harbor,Hancock County,Maine,ME,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Acadia National Park,2374645,2431052,2254922,2563129,2811184,3303393,3509271,3537575,3437286,2669034,2889149
Arches National Park,38.6112027,-109.607657,"Arches National Park, Arches Entrance Road, Grand County, UT, United States of America",Arches National Park,,,Arches Entrance Road,,,,Grand County,Utah,UT,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Arches National Park,1040758,1070577,1082866,1284767,1399247,1585718,1539028,1663557,1659702,1238083,1356430
Badlands National Park,43.8179276,-102.3609811,"Badlands National Park, Pennington County, SD, United States of America",Badlands National Park,,,,,,,Pennington County,South Dakota,SD,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Badlands National Park,870741,883406,892372,868094,989354,996263,1054325,1008942,970998,916932,945143
Big Bend National Park,29.2502011,-103.250452,"Big Bend National Park, Brewster County, TX, United States of America",Big Bend National Park,,,,,,,Brewster County,Texas,TX,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Big Bend National Park,361862,292055,316953,314102,381747,388290,440276,440091,463832,393907,379312
Biscayne National Park,25.6439925,-80.1664363,"Biscayne National Park, Miami-Dade County, FL 33149, United States of America",Biscayne National Park,,,,,33149,,Miami-Dade County,Florida,FL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Biscayne National Park,476077,495613,486848,525745,508164,514709,446961,469253,708522,402770,503466
Black Canyon of the Gunnison National Park,38.5798065,-107.743697,"Black Canyon of the Gunnison National Park, Montrose County, CO, United States of America",Black Canyon of the Gunnison National Park,,,,,,,Montrose County,Colorado,CO,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Black Canyon of the Gunnison National Park,168336,192570,175852,183045,209166,238018,307143,308962,432818,341620,255753
Bryce Canyon National Park,37.5707948,-112.1855939,"Bryce Canyon National Park, Kane County, UT, United States of America",Bryce Canyon National Park,,,,,,,Kane County,Utah,UT,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Bryce Canyon National Park,1296000,1385352,1311875,1435741,1745804,2365110,2571684,2679478,2594904,1464655,1885060
Canyonlands National Park,38.1666522,-109.984017,"Canyonlands National Park, Wayne County, UT, United States of America",Canyonlands National Park,,,,,,,Wayne County,Utah,UT,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Canyonlands National Park,473773,452952,462242,542431,634607,776218,742271,739449,733996,493914,605185
Capitol Reef National Park,38.06702855,-111.1552562,"Capitol Reef National Park, Wayne County, UT, United States of America",Capitol Reef National Park,,,,,,,Wayne County,Utah,UT,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Capitol Reef National Park,668834,673345,663670,786514,941029,1064904,1150165,1227627,1226519,981038,938365
Carlsbad Caverns National Park,32.13772,-104.506966,"Carlsbad Caverns National Park, Eddy County, NM, United States of America",Carlsbad Caverns National Park,,,,,,,Eddy County,New Mexico,NM,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Carlsbad Caverns National Park,365000,381058,388566,397309,445720,466773,520026,465912,440691,183835,405489
Channel Islands National Park,34.0137865,-119.74982,"Channel Islands National Park, Cañada del Puerto Road, Stanton Ranch, CA, United States of America",Channel Islands National Park,,,Cañada del Puerto Road,Stanton Ranch,,,Santa Barbara County,California,CA,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Channel Islands National Park,242756,249594,212029,342161,324816,364807,383687,366250,409630,167290,306302
Congaree National Park,33.7943468,-80.76395873,"Congaree National Park, Calhoun County, SC, United States of America",Congaree National Park,,,,,,,Calhoun County,South Carolina,SC,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Congaree National Park,120166,109685,120340,120122,87513,143843,159595,145929,159445,119306,128594
Crater Lake National Park,42.94109,-122.13282,"Crater Lake National Park, Klamath County, OR, United States of America",Crater Lake National Park,,,,,,,Klamath County,Oregon,OR,United States,us,1,,CC BY 4.0,https://www.geonames.org/datasources/,Crater Lake National Park,423551,447251,523027,535508,614712,756344,711749,720659,704512,670500,610781
Cuyahoga Valley National Park,41.3792201,-81.6165134,"Cuyahoga Valley National Park, Independence, OH 44141:44286, United States of America",Cuyahoga Valley National Park,,,,,44141:44286,Independence,Cuyahoga County,Ohio,OH,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Cuyahoga Valley National Park,2161185,2299722,2103010,2189849,2284612,2423390,2226879,2096053,2237997,2755628,2277833
Death Valley National Park,36.42404725,-116.9140437,"Death Valley National Park, CA 92328, United States of America",Death Valley National Park,,,,,92328,,,California,CA,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Death Valley National Park,946867,984568,951972,1101312,1154843,1296283,1294827,1678660,1740945,820023,1197030
Denali National Park & Preserve,63.7293678,-148.8881876,"Denali National Park and Preserve, Denali Park Road, Denali, AK 99755, United States of America",Denali National Park and Preserve,,,Denali Park Road,,99755,,Denali,Alaska,AK,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Denali National Park & Preserve,406582,388433,530922,531315,560757,587412,642809,594660,601152,54850,489889
Dry Tortugas National Park,24.668421,-82.861626,"Dry Tortugas National Park, Monroe, FL, United States of America",Dry Tortugas National Park,,,,,,,Monroe,Florida,FL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Dry Tortugas National Park,75171,60550,58401,64865,70862,73661,54281,56810,79200,48543,64234
Everglades National Park,25.3870275,-80.88026317,"Everglades National Park, FL 34138, United States of America",Everglades National Park,,,,,34138,,,Florida,FL,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Everglades National Park,934351,1141906,1047116,1110901,1077427,930907,1018557,597124,1118300,702319,967891
Gates of the Arctic National Park & Preserve,67.750841,-153.2474557,"Gates of the Arctic National Park, Unorganized Borough, AK 99721, United States of America",Gates of the Arctic National Park,,,,,99721,,Unorganized Borough,Alaska,AK,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Gates of the Arctic National Park & Preserve,11623,10899,11012,12669,10745,10047,11177,9591,10518,2872,10115
Gateway Arch National Park,38.62451305,-90.18570616,"The Gateway Arch National Park, Saint Louis, MO, United States of America",The Gateway Arch National Park,,,,,,Saint Louis,,Missouri,MO,United States,us,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Gateway Arch National Park,2259020,2496726,2377258,1817091,1698656,1271855,1398188,2016180,2055309,486021,1787630
Glacier Bay National Park & Preserve,58.50056,-137.00056,"Glacier Bay National Park and Preserve, Hoonah-Angoon Census Area, AK, United States of America",Glacier Bay National Park and Preserve,,,,,,,Hoonah-Angoon Census Area,Alaska,AK,United States,us,1,,CC BY 4.0,https://www.geonames.org/datasources/,Glacier Bay National Park & Preserve,431986,454337,500590,500727,551353,520171,547057,597915,672087,5748,478197
Glacier National Park,48.6174862,-113.7608851,"Glacier National Park, MT 59916, United States of America",Glacier National Park,,,,,59916,,,Montana,MT,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Glacier National Park,1853564,2162035,2190374,2338528,2366056,2946681,3305512,2965309,3049839,1698864,2487676
Grand Canyon National Park,36.0535928,-112.1202061,"Grand Canyon National Park, Greenway, Grand Canyon Village, AZ, United States of America",Grand Canyon National Park,,,Greenway,,,Grand Canyon Village,Coconino County,Arizona,AZ,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Grand Canyon National Park,4298178,4421352,4564840,4756771,5520736,5969811,6254238,6380495,5974411,2897098,5103793
Grand Teton National Park,43.80221,-110.859972,"Grand Teton National Park, Teton County, WY, United States of America",Grand Teton National Park,,,,,,,Teton County,Wyoming,WY,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Grand Teton National Park,2587437,2705256,2688794,2791392,3149921,3270076,3317000,3491151,3405614,3289638,3069628
Great Basin National Park,38.9441564,-114.2349457,"Great Basin National Park, White Pine County, NV, United States of America",Great Basin National Park,,,,,,,White Pine County,Nevada,NV,United States,us,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Great Basin National Park,91451,94850,92893,107526,116123,144846,168028,153094,131802,120248,122086
Great Sand Dunes National Park & Preserve,37.73287,-105.51212,"Great Sand Dunes National Park and Preserve, Alamosa County, CO, United States of America",Great Sand Dunes National Park and Preserve,,,,,,,Alamosa County,Colorado,CO,United States,us,1,,CC BY 4.0,https://www.geonames.org/datasources/,Great Sand Dunes National Park & Preserve,280058,254674,242841,271774,299513,388308,486935,442905,527546,461532,365609
Great Smoky Mountains National Park,35.718197,-83.837166,"Great Smoky Mountains National Park, Blount County, TN, United States of America",Great Smoky Mountains National Park,,,,,,,Blount County,Tennessee,TN,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Great Smoky Mountains National Park,9008830,9685829,9354695,10099276,10712674,11312786,11338893,11421200,12547743,12095720,10757765
Guadalupe Mountains National Park,31.893628,-104.785935,"Guadalupe Mountains National Park, Culberson County, TX, United States of America",Guadalupe Mountains National Park,,,,,,,Culberson County,Texas,TX,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Guadalupe Mountains National Park,152546,159360,145670,166868,169535,181839,225257,172347,188833,151256,171351
Haleakala National Park,20.7177925,-156.1424615,"Haleakalā National Park, Lauulu Trail, Maui County, HI, United States of America",Haleakalā National Park,,,Lauulu Trail,,,,Maui County,Hawaii,HI,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Haleakala National Park,956989,1094668,785300,1142040,1216772,1263558,1112390,1044084,994394,319147,992934
Hawaii Volcanoes National Park,19.474811,-155.354444,"Hawai'i Volcanoes National Park, Hawaii County, HI, United States of America",Hawai'i Volcanoes National Park,,,,,,,Hawaii County,Hawaii,HI,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,Hawaii Volcanoes National Park,1352123,1483928,1583209,1693005,1832660,1887580,2016702,1116891,1368376,589775,1492425
